Município;Estado;Apólices contratadas;Total de Importância segurada (R$ mil);Total de Subvenção (R$ mil);Apólices indenizadas;índice de sinistralidade;grupo;grupo5;mun;uf;;;
Campo Largo;Paraná;14;1853762,5;83215,6;0;0;0;3;4104204;41;;;
Campo Mourão;Paraná;202;41309503,5;1059700,4;42;0,724617657;1;0;4104303;41;;;
Campo Novo;Rio Grande do Sul;14;2754438;107082,1;6;2,217132621;0;3;4304002;43;;;
Campo do Tenente;Paraná;14;10907366,8;459658;0;0;3;1;4104105;41;;;
Campos Borges;Rio Grande do Sul;3;702707,6;18294,6;1;0,249652919;0;3;4304101;43;;;
Campos Novos;Santa Catarina;78;22304348,6;217838,9;2;0,27339454;3;4;4203600;42;;;
Candelária;Rio Grande do Sul;9;1947751,7;60963,8;3;0,127222274;0;3;4304200;43;;;
Candiota;Rio Grande do Sul;13;6215655,4;175888,9;2;0,063694669;0;1;4304358;43;;;
Candói;Paraná;70;13134207,3;379327,2;6;0,603401143;3;1;4104428;41;;;
Canela;Rio Grande do Sul;1;934708;60737,3;0;0;0;3;4304408;43;;;
Canguçu;Rio Grande do Sul;8;2041312,4;58780,5;2;0,109280548;0;3;4304507;43;;;
Canoas;Rio Grande do Sul;2;2664350;28442;2;3,939342479;0;3;4304606;43;;;
Canoinhas;Santa Catarina;113;9399555,5;200779,7;1;0,04157763;3;1;4203808;42;;;
Cantagalo;Paraná;41;5458323,7;135748,8;4;0,045129219;0;3;4104451;41;;;
Capanema;Paraná;10;237933,1;10289,9;2;0,256633552;0;3;4104501;41;;;
Capané;-;1;501146,4;19800,3;1;0,518459934;0;3;0;-;;;
Capela de Santana;Rio Grande do Sul;3;1386441,5;23523,5;1;0,381605023;0;3;4304689;43;;;
Capinzal;Santa Catarina;6;515054,3;9914,2;0;0;0;3;4203907;42;;;
Capitão Leônidas Marques;Paraná;5;502453,7;27066,7;1;0,240468166;0;3;4104600;41;;;
Capivari de Baixo;Santa Catarina;7;7356180;91400,6;0;0;0;1;4203956;42;;;
Capivari do Sul;Rio Grande do Sul;11;7283255,6;132236,6;0;0;0;1;4304671;43;;;
Capão Alto;Santa Catarina;3;879579,9;34222,5;0;0;0;3;4203253;42;;;
Capão Bonito do Sul;Rio Grande do Sul;19;2859136,4;107228,1;2;0,118291196;0;3;4304622;43;;;
Capão da Porteira;-;8;4735900;50555,8;0;0;0;3;0;-;;;
Capão do Cipó;Rio Grande do Sul;44;13425381,6;460394,9;1;0,008674767;3;1;4304655;43;;;
Capão do Leão;Rio Grande do Sul;8;4047347,5;117818,7;0;0;0;3;4304663;43;;;
Carajá;-;1;188758,4;4671,8;1;1,864530857;0;3;0;-;;;
Carambeí;Paraná;96;15918502,8;340603,1;0;0;3;1;4104659;41;;;
Carazinho;Rio Grande do Sul;94;26771199,2;848826;18;0,1565521;3;4;4304705;43;;;
Carlos Barbosa;Rio Grande do Sul;12;629370,3;14994;5;4,138136255;0;3;4304804;43;;;
Carlópolis;Paraná;20;2026524,1;67932,2;11;3,505675333;0;3;4104709;41;;;
Casca;Rio Grande do Sul;14;442993,3;20440,4;3;0,273599475;0;3;4304903;43;;;
Cascata;-;1;168432;4494,6;0;0;0;3;0;-;;;
Cascavel;Paraná;426;53362048,8;2115695,1;58;0,331500576;1;0;4104808;41;;;
Caseiros;Rio Grande do Sul;14;3315273,5;167435,6;2;0,58800024;0;3;4304952;43;;;
Castro;Paraná;92;18835864,4;470359,7;1;0,030528282;3;4;4104907;41;;;
Catanduvas;Paraná;48;7406744,9;243169,2;8;0,211427125;0;1;4105003;41;;;
Catuípe;Rio Grande do Sul;24;6126179,3;201101,2;3;0,135524986;0;1;4305009;43;;;
Caxias do Sul;Rio Grande do Sul;298;32251993,7;1277429,2;58;0,708549655;1;4;4305108;43;;;
Caçador;Santa Catarina;91;11636519,7;526329,9;27;0,445444959;3;1;4203006;42;;;
Caçapava do Sul;Rio Grande do Sul;24;4336120,5;149905,5;6;0,366481082;0;3;4302808;43;;;
Cedro;-;1;119801,2;2965,1;0;0;0;3;0;-;;;
Celso Ramos;Santa Catarina;1;36000;2206,3;0;0;0;3;4204152;42;;;
