ano;especie;mun;n_macho_bov;n_macho_bub;n_fem_bov;n_fem_bub;doenca;teste;BRU Nº REAGENTES;BRU Nº POS´S
2015;BOV;Ibiá;7;NA;19;NA;TUB;TCC;NA;NA
2015;BOV;Alto Rio Doce;4;NA;163;NA;BRU;AAT e 2ME;NA;1
2015;BOV;Coromandel;4;NA;103;NA;BRU;AAT e 2ME;1;NA
2015;BOV;Rio Pomba;16;NA;135;NA;TUB;TCS;NA;NA
2015;BOV;Carmo do Paranaíba;9;NA;66;NA;TUB;TCC;NA;NA
2015;BOV;Pará de Minas;4;NA;182;NA;TUB;TCC;NA;NA
2015;BOV;Patrocínio do Muriaé;30;NA;2;NA;TUB;TCS;NA;NA
2015;BOV;Patos de Minas;29;NA;423;NA;TUB;TCC;NA;NA
2015;BOV;Leopoldina;0;NA;59;NA;TUB;TCC;NA;NA
2015;BOV;Uberlândia;4;NA;78;NA;BRU;AAT;1;NA
2015;BOV;Leopoldina;3;NA;77;NA;TUB;TCS;NA;NA
2015;BOV;Carmo do Paranaíba;2;NA;9;NA;BRU;AAT;4;NA
2015;BOV;Argirita;5;NA;18;NA;TUB;TCS;NA;NA
2015;BOV;Leopoldina;3;NA;24;NA;TUB;TCC;NA;NA
2015;BOV;Leopoldina;147;NA;106;NA;BRU;AAT e 2ME;1;NA
2015;BOV;Viçosa;NA;NA;NA;NA;BRU;AAT;10;NA
2015;BOV;São José da Lapa;13;NA;69;NA;TUB;TCC;NA;NA
2015;BOV;Juiz de Fora;7;NA;75;NA;BRU;AAT;1;NA
2015;BOV;Ritápolis;4;NA;62;NA;TUB;TCS;NA;NA
2015;BOV;Juiz de Fora;0;NA;30;NA;BRU;AAT e 2ME;NA;1
2015;BOV;Alto Rio Doce;4;NA;28;NA;TUB;TCC;NA;NA
2015;BOV;Senhora dos Remédios;3;NA;76;NA;TUB;TCC;NA;NA
2015;BOV;São João Batista do Glória;49;NA;125;NA;BRU e TUB;AAT e TCC;1;NA
2015;BOV;Campestre;5;NA;13;NA;TUB;TCC;NA;NA
2015;BOV;Conceição da Aparecida;2;NA;26;NA;BRU;AAT;1;NA
2015;BOV;Bandeira do Sul;37;NA;106;NA;TUB;TCC;NA;NA
2015;BOV;Pratápolis;5;NA;13;NA;BRU e TUB;AAT e TCC;1;NA
2015;BOV;Areado;29;NA;188;NA;BRU;AAT;1;NA
2015;BOV;Poço Fundo;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;21;NA;33;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;6;NA;7;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;4;NA;15;NA;BRU;AAT e 2ME;1;NA
2015;BOV;Caldas;18;NA;98;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;12;NA;47;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;3;NA;10;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;NA;NA;NA;NA;TUB;TCC;NA;NA
2015;BOV;Machado;6;NA;22;NA;TUB;TCC;NA;NA
2015;BOV;Machado;NA;NA;20;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;6;NA;20;NA;TUB;TCC;NA;NA
2015;BOV;Poço Fundo;NA;NA;18;NA;TUB;TCC;NA;NA
2015;BOV;Caldas;18;NA;83;NA;TUB;TCC;NA;NA
2015;BOV;São João da Mata;78;NA;127;NA;TUB;TCC;NA;NA
